Run_5-4-2026_1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
-- Center find UTS DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
point id,,c1,c2,c3,c4,c5,c6,c7,c8,c9,,,,,,,,,,,,,,,,
UTS-J,East,36,33.76,32.647,33.077,36.7,37.244,39.023,39.368,38.174,,,,,,,,,,,,,,,,
UTS-J,North,-2.989,-2.133,-0.12,2.188,3.677,3.628,2.093,-0.29,-2.23,,,,,,,,,,,,,,,,
UTS-J,Elevation,10.65,10.671,10.692,10.702,10.697,10.681,10.658,10.641,10.638,,,,,,,,,,,,,,,,
-- Center find Machine DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
Point J Prime,X,-3322.09,-2007.34,202.167,2344.96,3394.97,2847.24,962.992,-1427.05,-3064.62,,,,,,,,,,,,,,,,
Point J Prime,Y,4524.16,4523.52,4523.52,4524.12,4523.16,4523.52,4523.23,4523.2,4525.12,,,,,,,,,,,,,,,,
Point J Prime,Z,-795.071,-2763.87,-3408.62,-2482.73,-370.368,1887.44,3277.6,3103.37,1507.45,,,,,,,,,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,,,,,,,,,,,,,,,,
-- Test Run UTS DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
point id,,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
Point G,Y,1896.95,1019.58,2570.09,3022.01,2529.58,2528.11,3107.58,1038.95,1232.41,1365.02,1512.6,1846.21,1937.24,985.095,2513.28,943.614,1631.02,2051.09,2272.6,2738.16,746.349,1508.06,2074.81,2124.04,2682.99
Point G,Z,219.394,220.374,219.409,219.734,219.746,626.525,727.331,582.258,675.012,653.316,1055.94,1090.8,1179.78,960.786,1003.54,1658.51,2141.73,2303.44,2110.74,2031.88,2012.08,2576.47,3011.88,2535.11,2468.87
Point H,X,3475.83,3166.21,3528.86,3936.91,3429.76,3388.78,3937.29,3136.63,3694.81,3585.13,3446.8,3536.66,3728.71,3137.24,3213.09,2442.25,3005.37,3060.97,2982.25,2912.44,1804.41,2168.06,2325.92,2145.53,2049.57
Point H,Y,2103.49,853.336,2653.27,2864.87,2689.86,2687.45,2931.38,878.081,1161.18,1354.8,1517.73,1794.2,1770.88,826.938,2717.6,714.106,1528.1,1805.83,2188.56,2708.39,489.417,1541.69,1854.83,2192.47,2923.02
Point H,Z,219.329,220.374,219.789,219.677,219.69,663.523,762.409,619.432,719.46,699.934,1146.13,1178.67,1248.72,1032.24,1059.34,1747.55,2311.8,2367.03,2285.67,2216.47,2053.93,2809.62,3138.39,2762.07,2562.8
Point J,X,3954.31,2361.57,3487.96,3152.48,3694.48,3647.11,3121.47,2354.6,3147.76,3225.4,3150.54,3068.7,2970.79,2398.38,3650.21,1795.33,2551.04,2408.07,2563.3,2608.92,1409.82,2073.05,1933.09,2104.65,2335.27
Point J,Y,1312.87,399.447,1730.43,2376.33,1804.82,1801.29,2520.03,404.743,422.925,506.795,649.282,1016.37,1320.88,342.535,1919.68,596.138,864.818,1824.19,1479.34,1888.71,660.871,644.281,1671.84,1273.41,2273.4
Point J,Z,218.133,219.374,219.324,219.461,219.996,709.905,619.716,478.63,621.11,634.605,1037.43,1007.42,970.808,761.468,1218.79,1098.59,1863.88,1712.7,1866.4,1913.48,1236.44,2611.78,2322.53,2677.01,3154.76
Point J Prime,X,3954.28,2361.14,3487.97,3153.45,3694.87,3646.95,3122.33,2354.91,3147.22,3224.94,3150.71,3068.65,2969.81,2397.99,3650.17,1795.62,2550.43,2408.28,2563.31,2608.69,1409.77,2072.38,1932.51,2104.24,2336.23
Point J Prime,Y,1312.87,398.777,1730.1,2376.91,1804.66,1801.29,2520.03,404.743,423.215,506.725,649.928,1012.28,1321.27,343.144,1918.57,595.695,865.269,1816.37,1479.25,1888.38,660.871,643.938,1671.84,1273.27,2273.03
Point J Prime,Z,218.055,220.374,219.8,219.461,219.996,709.396,615.716,478.593,621.064,634.58,1037.68,1007.31,970.809,761.584,1219.03,1097.84,1856.45,1712.83,1866.62,1913.41,1236.25,2611.78,2322.36,2675.89,3155.4
Point J Prime Left,X,3954.22,2361.47,3487.82,3152.94,3694.44,3700.36,3175.52,2408.55,3201.7,3278.65,3256.09,3173.82,3074.67,2503.56,3754.95,2011.49,2766.39,2624.18,2778.81,2823.92,1684.57,2347.38,2207.26,2379.3,2610.9
Point J Prime Left,Y,1312.87,398.778,1730.1,2376.91,1804.66,1801.29,2520.06,404.743,423.212,506.723,649.928,1016.28,1321.27,343.144,1918.57,595.7,865.269,1824.36,1479.25,1888.39,660.871,643.952,1671.84,1273.27,2273.05
Point J Prime Left,Z,-86.9454,-84.6255,-85.6755,-85.5389,-84.5001,409.687,315.021,178.529,320.88,334.49,751.019,720.908,684.371,475.163,932.535,882.34,1640.78,1497.3,1650.53,1698.2,1104.26,2479.88,2189.9,2543.67,3023.13
Point J Prime Right,X,3954.44,2361.57,3488.05,3152.6,3694.51,3593.25,3067.65,2300.64,3093.81,3171.43,3045.68,2963.89,2865.93,2293.52,3545.46,1579.36,2335.07,2192.17,2347.52,2393.21,1135.07,1798.32,1658.36,1829.95,2060.54
Point J Prime Right,Y,1312.87,398.567,1730.5,2377.35,1804.66,1802.41,2519.68,404.743,423.056,506.778,649.928,1015.86,1321.27,342.84,1919.07,596.138,865.269,1823.92,1479.34,1888.07,660.871,644.281,1671.84,1273.27,2272.55
Point J Prime Right,Z,523.055,524.73,524.8,524.891,524.996,1009.64,916.285,778.756,921.369,934.922,1323.83,1293.57,1257.24,1048.01,1504.77,1314.27,2071.84,1927.87,2081.55,2129.09,1368.59,2744.89,2454.99,2808.95,3287.57
Point J1,X,4021.6,2641.12,3700.47,3434.7,3830.44,3781.18,3393.11,2632.27,3429.58,3489.78,3396.74,3333.61,3232.59,2663.28,3717.46,1958.07,2755.18,2550.78,2767.32,2803.56,1481.7,2180.21,2038.24,2200.68,2334.51
Point J1,Y,1594.94,323.206,1927.5,2313.42,2060.69,2057.02,2429.28,335.737,465.325,615.775,774.527,1079.97,1243.33,277.52,2199.76,420.217,871.233,1615.76,1507.24,1977.1,422.504,796.014,1512.9,1458.11,2563.09
Point J1,Z,217.458,220.374,219.742,219.814,219.977,733.514,664.227,528.415,671.967,681.673,1127.81,1104.53,1066.95,858.547,1244.04,1261.76,2061.78,1855.96,2070.52,2109.07,1384.76,2834.72,2541.81,2877.76,3151.19
